decision_id,action,category,word,health_proposal_id,rationale,primary_sense_domain,secondary_sense_domains,already_in_kakano_144,review_status,source_note
PAPV3-HW-001,add,Health and Wellbeing,body,HW-001,Everyday body awareness.,self_and_body,safety_and_wellbeing,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-002,add,Health and Wellbeing,head,HW-002,Everyday body awareness.,self_and_body,safety_and_wellbeing,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-003,add,Health and Wellbeing,face,HW-003,Everyday body awareness.,self_and_body,safety_and_wellbeing,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-004,add,Health and Wellbeing,eye,HW-004,Everyday body awareness.,self_and_body,safety_and_wellbeing,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-005,add,Health and Wellbeing,ear,HW-005,Everyday body awareness.,self_and_body,safety_and_wellbeing,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-006,add,Health and Wellbeing,nose,HW-006,Everyday body awareness.,self_and_body,safety_and_wellbeing,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-007,add,Health and Wellbeing,mouth,HW-007,Everyday body awareness.,self_and_body,safety_and_wellbeing,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-008,add,Health and Wellbeing,tooth,HW-008,Everyday body awareness and care.,self_and_body,safety_and_wellbeing,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-009,add,Health and Wellbeing,hand,HW-009,Everyday body awareness.,self_and_body,safety_and_wellbeing,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-010,add,Health and Wellbeing,foot,HW-010,Everyday body awareness.,self_and_body,safety_and_wellbeing,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-011,add,Health and Wellbeing,heart,HW-011,Everyday body awareness.,self_and_body,safety_and_wellbeing,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-012,add,Health and Wellbeing,skin,HW-012,Everyday body awareness and protection.,self_and_body,safety_and_wellbeing,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-013,add,Health and Wellbeing,feel,HW-013,Naming an internal experience.,feelings_and_senses,safety_and_wellbeing,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-014,add,Health and Wellbeing,feeling,HW-014,Naming an internal experience.,feelings_and_senses,safety_and_wellbeing,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-015,add,Health and Wellbeing,happy,HW-015,Everyday positive feeling.,feelings_and_senses,safety_and_wellbeing,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-016,add,Health and Wellbeing,sad,HW-016,Everyday feeling that may need care.,feelings_and_senses,safety_and_wellbeing,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-017,add,Health and Wellbeing,angry,HW-017,Everyday feeling that may need care.,feelings_and_senses,safety_and_wellbeing,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-018,add,Health and Wellbeing,worried,HW-018,Everyday feeling that may need care.,feelings_and_senses,safety_and_wellbeing,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-019,add,Health and Wellbeing,calm,HW-019,A self-regulation and relational word.,feelings_and_senses,safety_and_wellbeing,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-020,add,Health and Wellbeing,scared,HW-020,Everyday feeling that may need support.,feelings_and_senses,safety_and_wellbeing,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-021,add,Health and Wellbeing,tired,HW-021,Everyday wellbeing state.,feelings_and_senses,safety_and_wellbeing,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-022,add,Health and Wellbeing,well,HW-022,Everyday wellbeing state.,feelings_and_senses,safety_and_wellbeing,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-023,add,Health and Wellbeing,sleep,HW-023,Essential rest word.,time_and_routines,safety_and_wellbeing,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-024,add,Health and Wellbeing,rest,HW-024,Essential rest word.,time_and_routines,safety_and_wellbeing,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-025,add,Health and Wellbeing,breathe,HW-025,Everyday body regulation word.,self_and_body,safety_and_wellbeing,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-026,add,Health and Wellbeing,walk,HW-026,Accessible everyday movement.,movement_and_position,safety_and_wellbeing,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-027,add,Health and Wellbeing,run,HW-027,Everyday movement.,movement_and_position,play_and_sport,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-028,add,Health and Wellbeing,stretch,HW-028,Everyday movement and body-care word.,movement_and_position,safety_and_wellbeing,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-029,add,Health and Wellbeing,move,HW-029,Everyday movement.,movement_and_position,safety_and_wellbeing,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-030,add,Health and Wellbeing,exercise,HW-030,Everyday movement and health word.,movement_and_position,safety_and_wellbeing,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-031,add,Health and Wellbeing,water,HW-031,Essential hydration and life-world word.,food_and_drink,water_land_and_places,true,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-032,add,Health and Wellbeing,food,HW-032,Essential nourishment word.,food_and_drink,safety_and_wellbeing,true,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-033,add,Health and Wellbeing,eat,HW-033,Everyday nourishment action.,food_and_drink,safety_and_wellbeing,true,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-034,add,Health and Wellbeing,drink,HW-034,Everyday hydration action.,food_and_drink,safety_and_wellbeing,true,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-035,add,Health and Wellbeing,wash,HW-035,Everyday hygiene action.,kitchen_and_household,safety_and_wellbeing,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-036,add,Health and Wellbeing,clean,HW-036,Everyday hygiene and care word.,kitchen_and_household,safety_and_wellbeing,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-037,add,Health and Wellbeing,bath,HW-037,Everyday hygiene and care word.,self_and_body,time_and_routines,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-038,add,Health and Wellbeing,shower,HW-038,Everyday hygiene and care word.,self_and_body,time_and_routines,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-039,add,Health and Wellbeing,soap,HW-039,Everyday hygiene item.,kitchen_and_household,safety_and_wellbeing,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-040,add,Health and Wellbeing,brush,HW-040,Everyday hygiene action.,kitchen_and_household,self_and_body,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-041,add,Health and Wellbeing,toilet,HW-041,Everyday self-care and hygiene word.,self_and_body,time_and_routines,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-042,add,Health and Wellbeing,health,HW-042,Core domain word.,safety_and_wellbeing,community_and_services,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-043,add,Health and Wellbeing,care,HW-043,Relational foundation word.,safety_and_wellbeing,community_and_services,true,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-044,add,Health and Wellbeing,help,HW-044,Relational foundation word.,safety_and_wellbeing,community_and_services,true,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-045,add,Health and Wellbeing,support,HW-045,Relational foundation word.,safety_and_wellbeing,community_and_services,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
